Loading repository data...
Reading installed packages...

S  | Name                                       | Summary                                                                                                                                                                                                                                | Type
i  | liblzma5                                   | Lempel–Ziv–Markov chain algorithm compression library                                                                                                                                                                                  | package
i  | liblzma5-x86-64-v3                         | Lempel–Ziv–Markov chain algorithm compression library                                                                                                                                                                                  | package
i  | liblzo2-2                                  | A Real-Time Data Compression Library                                                                                                                                                                                                   | package
i  | liblzo2-2-x86-64-v3                        | A Real-Time Data Compression Library                                                                                                                                                                                                   | package
i  | libm17n0                                   | Multilingual text processing library for the C language                                                                                                                                                                                | package
i  | libmagic1                                  | Library for heuristic file type identification                                                                                                                                                                                         | package
i  | libmaxminddb0                              | C library for the MaxMind DB file format                                                                                                                                                                                               | package
i  | libmd0                                     | Provides message digest functions from BSD systems                                                                                                                                                                                     | package
i  | libmd4c0                                   | C Markdown parser                                                                                                                                                                                                                      | package
i  | libmetalink3                               | Metalink Library                                                                                                                                                                                                                       | package
i  | libmng2                                    | Library for Support of MNG and JNG Formats                                                                                                                                                                                             | package
i  | libmng2-x86-64-v3                          | Library for Support of MNG and JNG Formats                                                                                                                                                                                             | package
i  | libmnl0                                    | Minimalistic Netlink communication library                                                                                                                                                                                             | package
i  | libmount1                                  | Device mount library                                                                                                                                                                                                                   | package
i  | libmpath0                                  | Libraries for multipath-tools                                                                                                                                                                                                          | package
i  | libmpdec4                                  | C library for arbitrary precision decimal floating point arithmetic                                                                                                                                                                    | package
i  | libmpfr6                                   | The GNU multiple-precision floating-point shared library                                                                                                                                                                               | package
i  | libmspack0                                 | Library That Implements Different Microsoft Compressions                                                                                                                                                                               | package
i  | libmtdev1                                  | Multitouch Protocol Translation Library                                                                                                                                                                                                | package
i  | libmtp-udev                                | Udev rules for accessing MTP devices                                                                                                                                                                                                   | package
i  | libmtp9                                    | Library for accessing MTP Players                                                                                                                                                                                                      | package
i  | libncurses6                                | Terminal control library                                                                                                                                                                                                               | package
i  | libndp0                                    | Libraries and header files for libndp development                                                                                                                                                                                      | package
i  | libnetfilter_conntrack3                    | Userspace library for the in-kernel connection tracking state table                                                                                                                                                                    | package
i  | libnetpbm11                                | Libraries for the NetPBM (NetPortableBitmap) Graphic Formats                                                                                                                                                                           | package
i  | libnettle8                                 | Cryptographic Library                                                                                                                                                                                                                  | package
i  | libnettle8-x86-64-v3                       | Cryptographic Library                                                                                                                                                                                                                  | package
i  | libnewt0_52                                | Shared libraries for Nifty Erik's Windowing Toolkit                                                                                                                                                                                    | package
i  | libnfnetlink0                              | Low-level library for Netfilter-related kernel/userspace communication                                                                                                                                                                 | package
i  | libnfs14                                   | Client library for accessing NFS shares over a network                                                                                                                                                                                 | package
i  | libnfsidmap1                               | NFSv4 ID Mapping Library                                                                                                                                                                                                               | package
i  | libnftables1                               | nftables firewalling command interface                                                                                                                                                                                                 | package
i  | libnftnl11                                 | Userspace library to access the nftables Netlink interface                                                                                                                                                                             | package
i  | libnghttp2-14                              | Shared library for nghttp2                                                                                                                                                                                                             | package
i  | libnl-config                               | Name maps for libnl                                                                                                                                                                                                                    | package
i  | libnl3-200                                 | Convenience library for working with Netlink sockets                                                                                                                                                                                   | package
i  | libnm0                                     | Convenience library for clients of NetworkManager                                                                                                                                                                                      | package
i  | libnotify4                                 | Notifications Library                                                                                                                                                                                                                  | package
i  | libnpth0                                   | GNU Portable Threads library                                                                                                                                                                                                           | package
i  | libnss_usrfiles2                           | NSS usrfiles plugin for glibc                                                                                                                                                                                                          | package
i  | libntfs-3g89                               | NTFS Support in Userspace -- Library                                                                                                                                                                                                   | package
i  | libnuma1                                   | NUMA Policy Control                                                                                                                                                                                                                    | package
i  | libnvme-mi1                                | NVMe Managament Interface library for libnvme                                                                                                                                                                                          | package
i  | libnvme1                                   | Linux-native nvme device management library                                                                                                                                                                                            | package
i  | libogg0                                    | Ogg Bitstream Library                                                                                                                                                                                                                  | package
i  | libonig5                                   | Regex Library Supporting Different Character Encodings                                                                                                                                                                                 | package
i  | libopenjp2-7                               | Opensource JPEG 2000 Codec Implementation                                                                                                                                                                                              | package
i  | libopenjp2-7-x86-64-v3                     | Opensource JPEG 2000 Codec Implementation                                                                                                                                                                                              | package
i  | libopenssl3                                | Secure Sockets and Transport Layer Security                                                                                                                                                                                            | package
i  | libopenssl3-x86-64-v3                      | Secure Sockets and Transport Layer Security                                                                                                                                                                                            | package
i  | libopus0                                   | Opus Audio Codec Library                                                                                                                                                                                                               | package
i  | liborc-0_4-0                               | The Oil Runtime Compiler Library                                                                                                                                                                                                       | package
i  | libotf1                                    | Shared library for libotf                                                                                                                                                                                                              | package
i  | libp11-kit0                                | Library to work with PKCS#11 modules                                                                                                                                                                                                   | package
i  | libpango-1_0-0                             | Library for Layout and Rendering of Text                                                                                                                                                                                               | package
i  | libpangomm-1_4-1                           | C++ interface for pango                                                                                                                                                                                                                | package
i  | libpaper                                   | Enables users to indicate their preferred paper size                                                                                                                                                                                   | package
i  | libpaper-tools                             | Tools that make use of libpaper                                                                                                                                                                                                        | package
i  | libpaper2                                  | This package contains the paper library                                                                                                                                                                                                | package
i  | libparted-fs-resize0                       | Library for manipulating partitions                                                                                                                                                                                                    | package
i  | libparted2                                 | Library for manipulating partitions                                                                                                                                                                                                    | package
i  | libpci3                                    | PCI utility library                                                                                                                                                                                                                    | package
i  | libpciaccess0                              | Generic PCI access library                                                                                                                                                                                                             | package
i  | libpcre2-8-0                               | A library for Perl-compatible regular expressions                                                                                                                                                                                      | package
i  | libpcre2-16-0                              | A library for Perl-compatible regular expressions                                                                                                                                                                                      | package
i  | libpipeline1                               | A pipeline manipulation library                                                                                                                                                                                                        | package
i  | libpixman-1-0                              | Pixel manipulation library                                                                                                                                                                                                             | package
i  | libpkgconf5                                | Backend library for pkgconf                                                                                                                                                                                                            | package
i  | libply-splash-core5                        | Plymouth core library                                                                                                                                                                                                                  | package
i  | libply-splash-graphics5                    | Plymouth graphics libraries                                                                                                                                                                                                            | package
i  | libply5                                    | Plymouth core library                                                                                                                                                                                                                  | package
i  | libpng16-16                                | Library for the Portable Network Graphics Format (PNG)                                                                                                                                                                                 | package
i  | libpng16-16-x86-64-v3                      | Library for the Portable Network Graphics Format (PNG)                                                                                                                                                                                 | package
i  | libpolkit-agent-1-0                        | PolicyKit Authorization Framework -- Agent Library                                                                                                                                                                                     | package
i  | libpolkit-gobject-1-0                      | PolicyKit Authorization Framework -- GObject Library                                                                                                                                                                                   | package
i  | libpopt0                                   | A C library for parsing command line parameters                                                                                                                                                                                        | package
i  | libproc2-1                                 | The procps library                                                                                                                                                                                                                     | package
i  | libprotobuf-c1                             | C bindings for Google's Protocol Buffers                                                                                                                                                                                               | package
i  | libproxy1                                  | Automatic proxy configuration management for applications                                                                                                                                                                              | package
i  | libpsl5                                    | C library for the Publix Suffix List                                                                                                                                                                                                   | package
i  | libpwquality-lang                          | Translations for package libpwquality                                                                                                                                                                                                  | package
i  | libpwquality1                              | Library for password quality checking and generating random passwords                                                                                                                                                                  | package
i  | libpxbackend-1_0                           | Backend library for libproxy, handles plugin loading                                                                                                                                                                                   | package
i  | libpython3_13-1_0                          | Python Interpreter shared library                                                                                                                                                                                                      | package
i  | libpython3_13-1_0-x86-64-v3                | Python Interpreter shared library                                                                                                                                                                                                      | package
i  | libQt6Core6                                | Qt 6 Core library                                                                                                                                                                                                                      | package
i  | libQt6DBus6                                | Qt6 D-Bus library                                                                                                                                                                                                                      | package
i  | libQt6Gui6                                 | Qt 6 GUI related libraries                                                                                                                                                                                                             | package
i  | libQt6Network6                             | Qt 6 Network library                                                                                                                                                                                                                   | package
i  | libQt6OpenGL6                              | Qt 6 OpenGL library                                                                                                                                                                                                                    | package
i  | libQt6Widgets6                             | Qt 6 Widgets library                                                                                                                                                                                                                   | package
i  | libreadline8                               | The Readline Library                                                                                                                                                                                                                   | package
i  | librscg1_0                                 | Remote SCSI user level command transport routines                                                                                                                                                                                      | package
i  | librsvg-2-2                                | A Library for Rendering SVG Data                                                                                                                                                                                                       | package
i  | libsasl2-3                                 | Simple Authentication and Security Layer (SASL) library                                                                                                                                                                                | package
i  | libscg1_0                                  | SCSI transport library                                                                                                                                                                                                                 | package
i  | libscgcmd1_0                               | SCSI command function library                                                                                                                                                                                                          | package
i  | libschily2_0                               | Support library for utilities from the Schily toolbox                                                                                                                                                                                  | package
i  | libseccomp2                                | An enhanced Seccomp (mode 2) helper library                                                                                                                                                                                            | package
i  | libsecret-1-0                              | Library for accessing the Secret Service API                                                                                                                                                                                           | package
i  | libsecret-lang                             | Translations for package libsecret                                                                                                                                                                                                     | package
i  | libselinux1                                | SELinux runtime library                                                                                                                                                                                                                | package
i  | libsemanage-conf                           | Configuration for the SELinux policy management library                                                                                                                                                                                | package
i  | libsemanage2                               | SELinux policy management library                                                                                                                                                                                                      | package
i  | libsensors4                                | Hardware health monitoring library                                                                                                                                                                                                     | package
i  | libsepol2                                  | SELinux binary policy manipulation library                                                                                                                                                                                             | package
i  | libsgutils2-1_48-2                         | Library to hold functions common to the SCSI utilities                                                                                                                                                                                 | package
i  | libsharpyuv0                               | Library for sharpening YUV option in WebP                                                                                                                                                                                              | package
i  | libsigc-2_0-0                              | Typesafe Signal Framework for C++                                                                                                                                                                                                      | package
i  | libslang2                                  | Programming Library and Embeddable Extension Language                                                                                                                                                                                  | package
i  | libSM6                                     | X Session Management library                                                                                                                                                                                                           | package
i  | libsmartcols1                              | Column-based text sort engine                                                                                                                                                                                                          | package
i  | libsnapper7                                | Library for filesystem snapshot management                                                                                                                                                                                             | package
i  | libsnappy1                                 | Shared library from snappy                                                                                                                                                                                                             | package
i  | libsnmp40                                  | Shared Libraries from net-snmp                                                                                                                                                                                                         | package
i  | libsoftokn3                                | Network Security Services Softoken Module                                                                                                                                                                                              | package
i  | libsolv-tools-base                         | Utilities used by libzypp to manage .solv files                                                                                                                                                                                        | package
i  | libsolv1                                   | Package dependency solver using a satisfiability algorithm                                                                                                                                                                             | package
i  | libsoup-3_0-0                              | HTTP client/server library for GNOME                                                                                                                                                                                                   | package
i  | libsoup-lang                               | Translations for package libsoup                                                                                                                                                                                                       | package
i  | libSPIRV-Tools-2025_1_rc1                  | SPIR-V tool component library                                                                                                                                                                                                          | package
i  | libsqlite3-0                               | Shared libraries for the Embeddable SQL Database Engine                                                                                                                                                                                | package
i  | libsqlite3-0-x86-64-v3                     | Shared libraries for the Embeddable SQL Database Engine                                                                                                                                                                                | package
i  | libssh-config                              | SSH library configuration files                                                                                                                                                                                                        | package
i  | libssh4                                    | SSH library                                                                                                                                                                                                                            | package
i  | libstdc++6                                 | The standard C++ shared library                                                                                                                                                                                                        | package
i  | libsubid5                                  | A library to manage subordinate uid and gid ranges                                                                                                                                                                                     | package
i  | libsystemd0                                | Component library for systemd                                                                                                                                                                                                          | package
i  | libtalloc2                                 | Samba talloc library                                                                                                                                                                                                                   | package
i  | libtalloc2-x86-64-v3                       | Samba talloc library                                                                                                                                                                                                                   | package
i  | libtasn1-6                                 | ASN.1 parsing library                                                                                                                                                                                                                  | package
i  | libtdb1                                    | Samba Trivial Database                                                                                                                                                                                                                 | package
i  | libtevent0                                 | Samba tevent Library                                                                                                                                                                                                                   | package
i  | libtextstyle0                              | Provides textstyling for console output                                                                                                                                                                                                | package
i  | libthai-data                               | Data files for the Thai language support library                                                                                                                                                                                       | package
i  | libthai0                                   | Thai Language Support Routines                                                                                                                                                                                                         | package
i  | libtheoradec1                              | Theora video decompression library                                                                                                                                                                                                     | package
i  | libtheoraenc1                              | Theora video compression library                                                                                                                                                                                                       | package
i  | libtiff6                                   | The Tiff Library (with JPEG and compression support)                                                                                                                                                                                   | package
i  | libtirpc-netconfig                         | Netconfig configuration file for TI-RPC Library                                                                                                                                                                                        | package
i  | libtirpc3                                  | Transport Independent RPC Library                                                                                                                                                                                                      | package
i  | libtracker-sparql-3_0-0                    | Sparql library for tinysparql                                                                                                                                                                                                          | package
i  | libts0                                     | Abstraction layer for touchscreens                                                                                                                                                                                                     | package
i  | libtss2-esys0                              | TPM2 Enhanced System API (ESAPI)                                                                                                                                                                                                       | package
i  | libtss2-mu0                                | TPM2 marshaling/unmarshaling library                                                                                                                                                                                                   | package
i  | libtss2-rc0                                | TPM2 error code translation library                                                                                                                                                                                                    | package
i  | libtss2-sys1                               | TPM2 System API (SAPI)                                                                                                                                                                                                                 | package
i  | libudev1                                   | Dynamic library to access udev device information                                                                                                                                                                                      | package
i  | libudisks2-0                               | Dynamic library to access the UDisksd daemon                                                                                                                                                                                           | package
i  | libudisks2-0_btrfs                         | UDisks module for btrfs                                                                                                                                                                                                                | package
i  | libunistring5                              | GNU Unicode string library                                                                                                                                                                                                             | package
i  | libunwind8                                 | Call chain detection library for process self-inspection                                                                                                                                                                               | package
i  | liburcu8                                   | Userspace Read-Copy-Update Library                                                                                                                                                                                                     | package
i  | liburing2                                  | Linux-native io_uring I/O access library                                                                                                                                                                                               | package
i  | libusb-1_0-0                               | USB Library                                                                                                                                                                                                                            | package
